year,month,CLOUDY_PIXEL_PERCENTAGE,volume_m2_area_fmask_deepwatermap,volume_km2_area_fmask_deepwatermap,volume_m2_area_deepwatermap,volume_km2_area_deepwatermap,volume_km2_area_ndwi,volume_m2_area_fmask_ndwi,volume_km2_area_fmask_ndwi,volume_m2_area_mndwi,volume_km2_area_mndwi,volume_m2_area_fmask_mndwi,volume_km2_area_fmask_mndwi,volume_m2_area_ndwi
2020,6,66.505832,9.927796287184508,1.0052539958670746e-06,44.8641,2.9328087258554574e-06,0.0,44.8641,2.9312714594225357e-06,44.8641,7.824686085306504e-06,44.8641,9.774447416208222e-06,0.0
2020,6,91.184911,15.88093098512718,1.297157241226194e-06,44.8641,2.9328087258554574e-06,0.0,2.982810369587495,4.782081119028878e-07,44.8641,9.803928384153193e-06,20.597551113537634,1.5300858683824656e-06,0.0
2020,6,99.552003,11.068499704582905,1.059501763259619e-06,44.8641,2.9328087258554574e-06,0.0,44.8641,2.667955457152566e-06,44.8641,9.809688693521198e-06,44.8641,8.958374049026068e-06,0.0
2020,6,85.326282,15.83577875155833,1.2948513415768105e-06,44.8641,2.9328087258554574e-06,0.0,3.0085339612317266,4.812826447687323e-07,44.8641,9.541524137404511e-06,13.88603421009879,1.1952789638851613e-06,0.0
2020,6,6.303789,12.822136947351773,1.1428984672456505e-06,15.186281237914164,1.2616818620049115e-06,7.432091946858678e-08,9.524601439330048,9.818106827650104e-07,10.716537372980419,1.0427636958492004e-06,44.8641,5.96549454169866e-06,0.2661845589692386
2020,6,58.252846,13.487862605978348,1.1749445598088757e-06,44.8641,2.9318922785589083e-06,0.0,10.315697612773937,1.0237011930621413e-06,44.8641,6.9103329782917644e-06,44.8641,2.58584718536973e-06,0.0
2020,7,0.077515,13.676575787304547,1.1845820378306573e-06,17.49541277260809,1.3796079350996576e-06,1.8828557521695673e-07,2.640871410178765,4.374705514304484e-07,10.369931218726283,1.0262803490422924e-06,17.52435240321643,1.38108586606339e-06,0.7166740216986311
2020,7,48.64098,15.182807989178098,1.261504485108805e-06,44.8641,2.797204088782106e-06,6.453562736671638e-08,2.688967803497612,4.430874864738182e-07,44.8641,3.715104141883136e-06,13.754730834925866,1.1885733729798423e-06,0.23040578449164353
2020,7,28.022997,9.910390458472163,1.0044262370185776e-06,23.236332528368767,1.6557246367053064e-06,2.7360386224414115e-07,44.8641,2.9315670875827122e-06,11.023389416352366,1.057356479581481e-06,44.8641,9.808152611023064e-06,1.2510926758262553
2020,7,7.585164,9.586250792745192,9.858312257434224e-07,20.52233182080597,1.5264464422597497e-06,5.6405852961839126e-08,44.8641,2.9328087258554574e-06,9.6303223210443,9.887054079340717e-07,44.8641,9.809688693521198e-06,0.19640804636171408
2020,7,4.926941,11.1990434199255,1.0657099546233435e-06,16.070223041242727,1.3068242820639933e-06,1.7311985059985848e-07,38.048881240614975,2.3218340072169202e-06,10.755049167897551,1.0445951788277458e-06,44.8641,8.354132366346313e-06,0.6255659523414767
2020,7,94.421368,9.002395151578236,9.477543187125791e-07,44.8641,2.9328087258554574e-06,0.0,44.8641,2.6987303486270293e-06,44.8641,9.79432786853985e-06,44.8641,8.71455049249521e-06,0.0
2020,8,60.830949,10.160910064581998,1.0163400518737253e-06,44.8641,2.9328087258554574e-06,0.0,6.313130593887189,7.696087893897056e-07,44.8641,9.809393293040788e-06,44.8641,4.907488181060273e-06,0.0
2020,8,53.045049,13.495966853029163,1.1753584392331237e-06,44.8641,2.928462991900851e-06,3.015407233809e-09,10.387807474582226,1.0271304797201989e-06,44.8641,6.394800059879294e-06,44.8641,3.313743509149337e-06,0.0051618964449753795
